Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Injured / Non-injured,P97315,P97315,1.151886631,1.151886631,1.30E-14,6.44E-12,16,P97315,Csrp1,Cysteine and glycine-rich protein 1,CSRP1_MOUSE,10,122.2042839,2.222042839,Injured,Non-injured,"nucleus,nucleoplasm,focal adhesion,actin cytoskeleton,extracellular exosome","RNA binding,protein binding,metal ion binding","response to metal ion,actin cytoskeleton organization,platelet aggregation"
Injured / Non-injured,Q6IRU2,Q6IRU2,1.671423182,1.671423182,8.69E-13,2.16E-10,16,Q6IRU2,Tpm4,Tropomyosin alpha-4 chain,TPM4_MOUSE,28,218.5286589,3.185286589,Injured,Non-injured,"stress fiber,podosome,cytoplasm,muscle thin filament tropomyosin,focal adhesion,actin cytoskeleton,membrane,cortical cytoskeleton,extracellular exosome,filamentous actin","structural constituent of muscle,identical protein binding,protein homodimerization activity,metal ion binding,protein heterodimerization activity,actin filament binding","osteoblast differentiation,muscle contraction,actin filament organization"
Injured / Non-injured,Q62048,Q62048,1.784701216,1.784701216,2.35E-12,3.89E-10,16,Q62048,Pea15,Astrocytic phosphoprotein PEA-15,PEA15_MOUSE,5,244.5471002,3.445471002,Injured,Non-injured,"nucleus,cytosol,microtubule associated complex","protein kinase C binding,protein binding","DNA damage checkpoint,apoptotic process,carbohydrate transport,intracellular signal transduction,response to morphine,negative regulation of glucose import,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors"
Injured / Non-injured,P40936,P40936,-1.891963861,1.891963861,5.35E-12,4.43E-10,16,P40936,Inmt,Indolethylamine N-methyltransferase,INMT_MOUSE,17,-73.05599645,0.269440035,Injured,Non-injured,cytosol,"thioether S-methyltransferase activity,amine N-methyltransferase activity,dimethyl selenide methyltransferase activity,Requires Ontology","selenium compound metabolic process,amine metabolic process,response to toxic substance,methylation"
Injured / Non-injured,Q78JN3,Q78JN3,-2.105139771,2.105139771,3.88E-12,4.43E-10,16,Q78JN3,Eci3,"Enoyl-CoA delta isomerase 3, peroxisomal",ECI3_MOUSE,9,-76.75712836,0.232428716,Injured,Non-injured,peroxisome,"fatty-acyl-CoA binding,dodecenoyl-CoA delta-isomerase activity",fatty acid beta-oxidation
Injured / Non-injured,Q99NB1,Q99NB1,-1.929196643,1.929196643,4.71E-12,4.43E-10,16,Q99NB1,Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACS2L_MOUSE,30,-73.74246562,0.262575344,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acetate-CoA ligase activity,ATP binding,AMP binding","acetyl-CoA biosynthetic process,acetate biosynthetic process,acetyl-CoA biosynthetic process from acetate,propionate biosynthetic process"
Injured / Non-injured,O09174,O09174,-1.916384762,1.916384762,1.17E-11,5.91E-10,16,O09174,Amacr,Alpha-methylacyl-CoA racemase,AMACR_MOUSE,18,-73.50824661,0.264917534,Injured,Non-injured,"cytoplasm,mitochondrion,peroxisome,plasma membrane,intracellular membrane-bounded organelle","receptor binding,alpha-methylacyl-CoA racemase activity","fatty acid metabolic process,bile acid biosynthetic process,bile acid metabolic process,isoprenoid catabolic process"
Injured / Non-injured,P09405,P09405,1.332207328,1.332207328,1.57E-11,5.91E-10,16,P09405,Ncl,Nucleolin,NUCL_MOUSE,28,151.7876161,2.517876161,Injured,Non-injured,"nucleus,nucleoplasm,nucleolus,cell cortex,membrane,intracellular ribonucleoprotein complex,cytoplasmic ribonucleoprotein granule,extracellular exosome","RNA binding,protein binding,protein C-terminus binding,telomeric DNA binding,identical protein binding,DNA topoisomerase binding,mRNA 5'-UTR binding","angiogenesis,negative regulation of translation,positive regulation of transcription from RNA polymerase II promoter,cellular response to epidermal growth factor stimulus,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter,cellular response to leukemia inhibitory factor"
Injured / Non-injured,P16331,P16331,-2.098302269,2.098302269,2.03E-11,5.91E-10,16,P16331,Pah,Phenylalanine-4-hydroxylase,PH4H_MOUSE,32,-76.64670975,0.233532903,Injured,Non-injured,extracellular exosome,"phenylalanine 4-monooxygenase activity,iron ion binding","L-phenylalanine catabolic process,oxidation-reduction process"
Injured / Non-injured,P18242,P18242,2.219207794,2.219207794,1.95E-11,5.91E-10,16,P18242,Ctsd,Cathepsin D,CATD_MOUSE,20,365.6376755,4.656376755,Injured,Non-injured,"extracellular space,mitochondrion,lysosome,melanosome,membrane raft,extracellular exosome,extracellular matrix","aspartic-type endopeptidase activity,peptidase activity,hydrolase activity","autophagosome assembly,proteolysis,protein catabolic process,epithelial tube branching involved in lung morphogenesis"
